Title,Date
"The Walking Dead: Staffel 10: Das eine noch","07.10.22"
"The Walking Dead: Staffel 10: Happy Monday","07.10.22"
"The Walking Dead: Staffel 10: Home Sweet Home","07.10.22"
"The Walking Dead: Staffel 10: Unter Feinden","07.10.22"
"The Walking Dead: Staffel 10: Prinzessin","06.10.22"
"The Walking Dead: Staffel 10: Abschiede","06.10.22"
"The Walking Dead: Staffel 10: Michonnes Weg","06.10.22"
"The Walking Dead: Staffel 10: Von Angesicht zu Angesicht","06.10.22"
"The Walking Dead: Staffel 10: Hinterhalt","06.10.22"
"The Walking Dead: Staffel 10: Zukunft oder Rache?","06.10.22"
"The Walking Dead: Staffel 10: Überschrittene Grenzen","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Was hast du getan, Sara?","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Was ist mit Sara geschehen?","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Laborratten","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Willkommen im Medusa-Zentrum","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Tot oder lebendig","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Medusa-Komplex","06.10.22"
"Wer hat Sara ermordet?: Staffel 3: Mutmaßlich tot","06.10.22"
"KAKEGURUI TWIN: Ein widerständiges Mädchen","05.10.22"
"KAKEGURUI TWIN: Ein aufrichtiges Mädchen","05.10.22"
"KAKEGURUI TWIN: Geständige Mädchen","05.10.22"
"KAKEGURUI TWIN: Ein verräterisches Mädchen","05.10.22"
"KAKEGURUI TWIN: Ein gefragtes Mädchen","05.10.22"
"KAKEGURUI TWIN: Ein Mädchen namens Mary Saotome","05.10.22"
"Geschichtshappen: Staffel 2: Psychedelika","04.10.22"
"AJIN: Demi-Human: Staffel 2: Ich verspreche Ihnen auch etwas, Mr. Sato","03.10.22"
"AJIN: Demi-Human: Staffel 2: Aber das macht es interessant. Na, egal.","03.10.22"
"AJIN: Demi-Human: Staffel 2: Wenn es so weitergeht, bedeutet das wirklich Krieg!","03.10.22"
"AJIN: Demi-Human: Staffel 2: Ich werde es nicht tun","03.10.22"
"AJIN: Demi-Human: Staffel 2: Sie sind es, der mir mein Leben vermasselt!","03.10.22"
"AJIN: Demi-Human: Staffel 2: In diesem Land wird es drunter und drüber gehen","03.10.22"
"AJIN: Demi-Human: Staffel 2: Kuro, nur noch ein einziges Mal!","03.10.22"
"AJIN: Demi-Human: Staffel 2: Nicht einfach, ein Schoßhund zu sein","03.10.22"
"AJIN: Demi-Human: Staffel 2: Kuro, bitte...","03.10.22"
"AJIN: Demi-Human: Staffel 2: Die machen mich krank","03.10.22"
"AJIN: Demi-Human: Staffel 2: Ich fürchte mich immer","03.10.22"
"AJIN: Demi-Human: Staffel 2: Ich bin von Idioten umzingelt","03.10.22"
"AJIN: Demi-Human: Staffel 2: Langsam habe ich es satt","03.10.22"
"AJIN: Demi-Human: Staffel 1: Sato, es ist Ihre Schuld!","03.10.22"
"AJIN: Demi-Human: Staffel 1: Puh, ich bin erledigt","03.10.22"
"AJIN: Demi-Human: Staffel 1: Dann legen wir mal los","03.10.22"
"AJIN: Demi-Human: Staffel 1: Der Verfall beginnt im Moment des Erschaffens","03.10.22"
"AJIN: Demi-Human: Staffel 1: Warte! Lass uns darüber reden","02.10.22"
"AJIN: Demi-Human: Staffel 1: Macht euch auf was gefasst","02.10.22"
"Gladbeck: Das Geiseldrama","02.10.22"
"AJIN: Demi-Human: Staffel 1: Ich schwöre, dann kehre ich alles unter den Teppich","02.10.22"
"AJIN: Demi-Human: Staffel 1: Ich werde dich ebenfalls umbringen","02.10.22"
"AJIN: Demi-Human: Staffel 1: Aber wenn es hart auf hart geht, dann sollen sie dir helfen...","02.10.22"
"AJIN: Demi-Human: Staffel 1: Hast du jemals einen schwarzen Geist gesehen?","02.10.22"
"AJIN: Demi-Human: Staffel 1: Ich glaube, das war's","02.10.22"
"AJIN: Demi-Human: Staffel 1: Wie konnte es dazu kommen? Ich bin nicht daran schuld...","02.10.22"
"AJIN: Demi-Human: Staffel 1: Das hat doch mit uns nichts zu tun","02.10.22"
"John Wayne Gacy: Selbstporträt eines Serienmörders: Miniserie: Zurechnungsfähig genug","01.10.22"
"Assassination Classroom: Staffel 1: Zeit zum Töten","01.10.22"
"Kakegurui – Das Leben ist ein Spiel: Kakegurui: Die Neue","01.10.22"
"John Wayne Gacy: Selbstporträt eines Serienmörders: Miniserie: Ein wohl gehütetes Geheimnis","29.09.22"
"John Wayne Gacy: Selbstporträt eines Serienmörders: Miniserie: Ein wertvolles Mitglied der Gesellschaft","28.09.22"
"Der Regenmantel-Killer: Mörderjagd in Korea: Der Hammer fällt","28.09.22"
"Der Regenmantel-Killer: Mörderjagd in Korea: Mordreviere","28.09.22"
"Der Regenmantel-Killer: Mörderjagd in Korea: Eine neue Art von Killer","28.09.22"
"Manhunt: Unabomber: USA gegen Theodore J. Kaczynski","27.09.22"
"Manhunt: Unabomber: Lincoln","27.09.22"
"Manhunt: Unabomber: Ted","27.09.22"
"Manhunt: Unabomber: Hütte","26.09.22"
"Manhunt: Unabomber: Veröffentlichung oder Untergang","26.09.22"
"Manhunt: Unabomber: Frucht des verbotenen Baumes","26.09.22"
"Manhunt: Unabomber: Pures „Wudder“","26.09.22"
"Manhunt: Unabomber: UNABOM","26.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Gott der Vergebung / Gott der Rache","25.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Das Schreckgespenst","25.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Lionel","25.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Kassandra","25.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Verstummt","23.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Blut an ihren Händen","23.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Die Gute-Jungen-Box","23.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Einen Dahmer machen","23.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Alle verlassen mich","23.09.22"
"DAHMER: Monster: Die Geschichte von Jeffrey Dahmer: Folge eins","22.09.22"
"Suits: Staffel 7: Abschied","22.09.22"
"Suits: Staffel 7: Beste Partner","22.09.22"
"Suits: Staffel 7: Hahnenkampf","21.09.22"
"Suits: Staffel 7: Unvermeidlich","21.09.22"
"Suits: Staffel 7: Neuordnung","21.09.22"
"Suits: Staffel 7: Zerwürfnis","21.09.22"
"Puella Magi Madoka Magica: Meine allerbeste Freundin","21.09.22"
"Puella Magi Madoka Magica: Der letzte Ausweg, der mir bleibt","21.09.22"
"Puella Magi Madoka Magica: Jetzt bin ich ganz auf mich allein gestellt","20.09.22"
"Puella Magi Madoka Magica: Das lasse ich nicht zu","20.09.22"
"Puella Magi Madoka Magica: Ich bin wirklich blöd","20.09.22"
"Puella Magi Madoka Magica: Kannst du dich deinen wahren Gefühlen stellen?","20.09.22"
"Puella Magi Madoka Magica: Was ihr tut, ist nicht richtig","20.09.22"
"Puella Magi Madoka Magica: Ich bereue gar nichts","20.09.22"
"Puella Magi Madoka Magica: Es gibt (doch) Wunder und Zauberei","20.09.22"
"Puella Magi Madoka Magica: Ich habe vor nichts mehr Angst","19.09.22"
"Puella Magi Madoka Magica: Das wäre schön","19.09.22"
"Puella Magi Madoka Magica: Als wäre ich ihr im Traum begegnet …","19.09.22"
"Cyberpunk: Edgerunners: My Moon My Man","16.09.22"
"Cyberpunk: Edgerunners: Humanity","16.09.22"
"Cyberpunk: Edgerunners: Stay","16.09.22"
"Cyberpunk: Edgerunners: Stronger","16.09.22"
"Cyberpunk: Edgerunners: Girl on Fire","14.09.22"
"Cyberpunk: Edgerunners: All Eyez On Me","14.09.22"
"Cyberpunk: Edgerunners: Lucky You","14.09.22"
"Cyberpunk: Edgerunners: Smooth Criminal","14.09.22"
"Cyberpunk: Edgerunners: Like A Boy","14.09.22"
"Cyberpunk: Edgerunners: Let You Down","14.09.22"
"STEINS;GATE: Steins;Gate: Egoistic Poriomania","14.09.22"
"STEINS;GATE: Steins;Gate: Achievement Point","14.09.22"
"STEINS;GATE: Steins;Gate: Open the Steins Gate","14.09.22"
"STEINS;GATE: Steins;Gate: Being Meltdown","11.09.22"
"STEINS;GATE: Steins;Gate: Paradox Meltdown","11.09.22"
"STEINS;GATE: Steins;Gate: Finalize Apoptosis","11.09.22"
"STEINS;GATE: Steins;Gate: Endless Apoptosis","11.09.22"
"STEINS;GATE: Steins;Gate: Fractal Androgynous","11.09.22"
"STEINS;GATE: Steins;Gate: Made in Complex","11.09.22"
"STEINS;GATE: Steins;Gate: Sacrificial Necrosis","10.09.22"
"STEINS;GATE: Steins;Gate: Missing Link Necrosis","10.09.22"
"STEINS;GATE: Steins;Gate: Physical Necrosis","10.09.22"
"STEINS;GATE: Steins;Gate: Metaphysical Necrosis","10.09.22"
"STEINS;GATE: Steins;Gate: Dogma In Ergosphere","10.09.22"
"STEINS;GATE: Steins;Gate: Dogma In Event Horizon","10.09.22"
"STEINS;GATE: Steins;Gate: Chaos Theory Homeostasis III","10.09.22"
"STEINS;GATE: Steins;Gate: Chaos Theory Homeostasis II","09.09.22"
"STEINS;GATE: Steins;Gate: Chaos Theory Homeostasis I","09.09.22"
"STEINS;GATE: Steins;Gate: Divergence Singularity","09.09.22"
"STEINS;GATE: Steins;Gate: Butterfly Effect’s Divergence","09.09.22"
"STEINS;GATE: Steins;Gate: Starmine Rendezvous","09.09.22"
"STEINS;GATE: Steins;Gate: Interpreter Rendezvous","09.09.22"
"STEINS;GATE: Steins;Gate: Parallel World Paranoia","09.09.22"
"STEINS;GATE: Steins;Gate: Time Travel Paranoia","09.09.22"
"STEINS;GATE: Steins;Gate: Turning point","09.09.22"
"Black Lagoon: Black Lagoon: Roberta's Blood Trail: Codename Paradise, Status MIA","07.09.22"
"Black Lagoon: Black Lagoon: Roberta's Blood Trail: Oversaturation Kill Box","07.09.22"
"Black Lagoon: Black Lagoon: Roberta's Blood Trail: Angels in the Crosshairs","07.09.22"
"Black Lagoon: Black Lagoon: Roberta's Blood Trail: An Office Man’s Tactics","07.09.22"
"Black Lagoon: Black Lagoon: Roberta's Blood Trail: Collateral Massacre","07.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: The Gunslingers","07.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Snow White’s Payback","07.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: The Dark Tower","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Two Father’s Little Soldier Girls","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: The Succession","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Fujiyama Gangsta Paradise","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Mr. Benny’s Good Fortune","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: The Roanapur Freakshow Circus","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Greenback Jane","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Swan Song at Dawn","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: Bloodsport Fairytale","06.09.22"
"Black Lagoon: BLACK LAGOON The Second Barrage: The Vampire Twins Comen","05.09.22"
"Black Lagoon: Guerrillas in the Jungle","05.09.22"
"Black Lagoon: Lock’n Load Revolution","05.09.22"
"Black Lagoon: The Unstoppable Chambermaid","04.09.22"
"Black Lagoon: Maid to Kill","04.09.22"
"Black Lagoon: Rasta Blasta","04.09.22"
"Black Lagoon: Calm Down, Two Men","03.09.22"
"Black Lagoon: Moonlit Hunting Grounds","03.09.22"
"Black Lagoon: Eagle Hunting and Hunting Eagles","03.09.22"
"Black Lagoon: Die Rückkehr des Adlers","01.09.22"
"Black Lagoon: Ring-Ding Ship Chase","01.09.22"
"Black Lagoon: Mangrove Heaven","31.08.22"
"Black Lagoon: The Black Lagoon","31.08.22"
"SPRIGGAN: Das vergessene Königreich","31.08.22"
"SPRIGGAN: Der Kristallschädel","31.08.22"
"SPRIGGAN: Der Berserker","30.08.22"
"SPRIGGAN: Der Wald ohne Wiederkehr","29.08.22"
"SPRIGGAN: Die Arche Noah","29.08.22"
"Geschichtshappen: Staffel 2: Kreditkarten","28.08.22"
"Geschichtshappen: Staffel 2: IVF","28.08.22"
"SPRIGGAN: Der Schrein des Feuers","27.08.22"
"Naruto Shippuden: Staffel 1: Und schon wieder Trainingsplatz 3","27.08.22"
"Geschichtshappen: Staffel 2: MP3s","27.08.22"
"Geschichtshappen: Staffel 2: GPS","26.08.22"
"Geschichtshappen: Staffel 2: Maissirup mit hohem Fruchtzuckergehalt","26.08.22"
"Tekken: Bloodline: Folge 6","26.08.22"
"Tekken: Bloodline: Folge 5","26.08.22"
"Tekken: Bloodline: Folge 4","26.08.22"
"Tekken: Bloodline: Folge 3","26.08.22"
"Tekken: Bloodline: Folge 2","26.08.22"
"Tekken: Bloodline: Folge 1","26.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Seraph of the End","25.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Hochmütige Liebe","25.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Yu und Mika","24.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Verräterische Verbündete","24.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Das Schlaflied der Dämonen","24.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Shinya und die Guren","24.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Das Schwert der Gerechtigkeit","24.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Aufstand des Viehs","24.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Die Befehle der Mondjäger","19.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Der Ehrgeiz der Vampirjäger","19.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Schwierige Beziehungen","19.08.22"
"Seraph of the End: Vampire Reign: Staffel 2: Die Welt der Menschen","19.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Jeder ist ein Sünder","19.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Das Treffen von alten Freunden","18.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Die Ergebnisse der Wahl","18.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Der Angriff der Vampire","18.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Erste Auslöschungen","18.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Mitsubas Einheit","18.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Neue Familie","16.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Der Pakt mit dem Dämonenschwert","16.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Mikaela, ein Vampir?","16.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Der Dämon in deinem Herzen","16.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Die Menschen nach dem Sturz","16.08.22"
"Seraph of the End: Vampire Reign: Staffel 1: Das Bluterbe der Welt","15.08.22"
"The Asterisk War: Wiedervereinigung","14.08.22"
"The Asterisk War: Der einsame Strega","14.08.22"
"The Asterisk War: Lieseltania","08.08.22"
"The Asterisk War: Entscheidender Sieg","08.08.22"
"The Asterisk War: Phoenix Showdown","08.08.22"
"The Asterisk War: Kampfgesang","08.08.22"
"The Asterisk War: Verwürfelung","08.08.22"
"The Asterisk War: Die Marionetten des Tyrannen","08.08.22"
"The Asterisk War: Niemals Aufgeben","08.08.22"
"The Asterisk War: Brechen  der Erinnerungsbarriere","08.08.22"
"Vikings: Staffel 5: York","28.07.22"
"The Asterisk War: Korrupter Führer","26.07.22"
"The Asterisk War: Die göttliche Enthüllung","26.07.22"
"The Asterisk War: Das Gravi-Sheath","26.07.22"
"The Asterisk War: Macht und ihr Preis","25.07.22"
"The Asterisk War: Lamirexia","25.07.22"
"The Asterisk War: Die Phoenix Festa","25.07.22"
"The Asterisk War: Ein freier Tag zu zweit","25.07.22"
"Stranger Things: Stranger Things 4: Kapitel neun: Huckepack","24.07.22"
"Stranger Things: Stranger Things 4: Kapitel acht: Papa","24.07.22"
"Stranger Things: Stranger Things 4: Kapitel sieben: Das Massaker im Hawkins Lab","24.07.22"
"Stranger Things: Stranger Things 4: Kapitel sechs: Auf Tiefgang","24.07.22"
"Stranger Things: Stranger Things 4: Kapitel fünf: Das Nina-Projekt","24.07.22"
"Stranger Things: Stranger Things 4: Kapitel vier: Lieber Billy","24.07.22"
"Schnelles Geld: Staffel 1: Einen toten Fisch schütteln","20.07.22"
"Stranger Things: Stranger Things 4: Kapitel drei: Das Monster und die Superheldin","08.07.22"
"Stranger Things: Stranger Things 4: Kapitel zwei: Vecnas Fluch","08.07.22"
"Stranger Things: Stranger Things 4: Kapitel eins: Der Höllenfeuer-Club","08.07.22"
"The Asterisk War: Entschluss und Duell","06.07.22"
"The Asterisk War: Ihr wahres Gesicht","06.07.22"
"The Asterisk War: Klingengewitter","06.07.22"
"The Asterisk War: Der Entfesselte","06.07.22"
"The Asterisk War: Ein freier Tag zu zweit","04.07.22"
"The Asterisk War: Ser Veresta","04.07.22"
"The Asterisk War: Die Hexe der Flammenpracht","04.07.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 6: Schloss und Schlüssel","03.07.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 6: Der Weg in die Hölle","03.07.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 6: Der Saphir","29.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 6: Gold","28.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 6: Ein schwarzes Hemd","15.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 6: Ein schwarzer Tag","15.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 5: Mr. Jones","14.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 5: Der Schock","14.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 5: Die Schleife","13.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 5: Strategie","13.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 5: Schwarze Katzen","12.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 5: Schwarzer Dienstag","08.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 4: Folge 6","08.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 4: Folge 5","03.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 4: Folge 4","03.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 4: Folge 3","01.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 4: Folge 2","01.06.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 4: Folge 1","31.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 3: Folge 6","31.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 3: Folge 5","23.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 3: Folge 4","23.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 3: Folge 3","22.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 3: Folge 2","22.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 3: Folge 1","22.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 2: Das Attentat","22.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 2: Der Ort des Geschehens","18.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 2: Ein riskanter Auftrag","17.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 2: Der Anschlag","17.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 2: Der verlorene Sohn","16.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 2: Gefährliche Allianzen","15.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 1: Showdown","15.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 1: Das Grab","15.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 1: Die Hochzeit","14.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 1: Auf der Rennbahn","14.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 1: Waffenpoker","12.05.22"
"Peaky Blinders – Gangs of Birmingham: Staffel 1: Geschenk des Teufels","11.05.22"
"Record of Ragnarok: Und die Götterdämmerung geht weiter","10.05.22"
"Record of Ragnarok: Die Schwalbe, die in den Abgrund blickt","10.05.22"
"Record of Ragnarok: Der größte Verlierer","10.05.22"
"Record of Ragnarok: Tyrann des Ozeans","10.05.22"
"Record of Ragnarok: Überreiche Gnade","09.05.22"
"Record of Ragnarok: Vertrieben aus dem Paradies","09.05.22"
"Record of Ragnarok: Eine großartige Nachbildung","09.05.22"
"Record of Ragnarok: Akte Nr. 00000000001","09.05.22"
"Record of Ragnarok: Freude","08.05.22"
"Record of Ragnarok: Der Todesstoß","08.05.22"
"Record of Ragnarok: Ein würdiger Gegner","08.05.22"
"Record of Ragnarok: Götterdämmerung","07.05.22"
"Formula 1: Drive to Survive: Staffel 4: Hartes Rennen","01.05.22"
"Formula 1: Drive to Survive: Staffel 4: Mit harten Bandagen","01.05.22"
"Formula 1: Drive to Survive: Staffel 4: Der mit dem Wolff tanzt","01.05.22"
"Formula 1: Drive to Survive: Staffel 4: Wachstumsschmerzen","01.05.22"
"Formula 1: Drive to Survive: Staffel 4: Die Zeit ist reif","01.05.22"
"Formula 1: Drive to Survive: Staffel 4: Das Leben geht weiter","28.04.22"
"Formula 1: Drive to Survive: Staffel 4: Ein langer Weg nach oben","28.04.22"
"Akame Ga Kill: Akame Ga Kill","26.04.22"
"Akame Ga Kill: Den Kaiser durchschneiden","26.04.22"
"Akame Ga Kill: Die Schwester durchschneiden","26.04.22"
"Akame Ga Kill: Die Verzweiflung durchschneiden","25.04.22"
"Akame Ga Kill: Shura durchschneiden","25.04.22"
"Akame Ga Kill: Die Ursache durchschneiden","25.04.22"
"Akame Ga Kill: Dämonen durchschneiden","25.04.22"
"Akame Ga Kill: Den Bann durchschneiden","25.04.22"
"Akame Ga Kill: Puppen durchschneiden","24.04.22"
"Akame Ga Kill: Eine Religionsgemeinschaft durchschneiden","24.04.22"
"Akame Ga Kill: Das Ministermonster durchschneiden","24.04.22"
"Akame Ga Kill: Hindernisse durchschneiden","24.04.22"
"Akame Ga Kill: Die Neuen durchschneiden","24.04.22"
"Akame Ga Kill: Den Mad Scientist durchschneiden","23.04.22"
"Akame Ga Kill: Die Verführung durchschneiden","23.04.22"
"Akame Ga Kill: Den Kampfeswahn durchschneiden","23.04.22"
"Akame Ga Kill: Drei Kleintiere durchschneiden -Teil 2-","22.04.22"
"Akame Ga Kill: Drei Kleintiere durchschneiden -Teil 1-","22.04.22"
"Akame Ga Kill: Die absolute Gerechtigkeit durchschneiden","22.04.22"
"Akame Ga Kill: Traumgeschichten durchschneiden","22.04.22"
"Akame Ga Kill: Benutzer von Kaiserwaffen durchschneiden","22.04.22"
"Akame Ga Kill: Die Befangenheit durchschneiden","22.04.22"
"Akame Ga Kill: Die Autorität durchschneiden","21.04.22"
"Akame Ga Kill: Die Dunkelheit zerschneiden","21.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Das Ende der endlosen Nacht","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Die Fortsetzung des Traumes leben, aus dem man nicht erwacht","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Kaede Quest","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Glückwunsch zu deinem Komplex","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Schwesternpanik","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Lass alles von dem starken, nächtlichen Regen hinfortspülen","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Die Jugend ist ein Paradoxon","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Diese Welt, die du dir ausgesucht hast","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Ich erzähle dir alle möglichen Lügen","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Das Schwein hat keine Zukunft","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Die Welt, in der es dich nicht gibt","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Bei jedem ersten Date gibt es Probleme","20.04.22"
"Rascal Does Not Dream of Bunny Girl Senpai: Meine Senpai ist ein Bunny Girl","19.04.22"
"MINDHUNTER: Staffel 2: Folge 3","19.04.22"
"MINDHUNTER: Staffel 2: Folge 2","19.04.22"
"MINDHUNTER: Staffel 2: Folge 1","18.04.22"
"Squid Game: Glückstag","18.04.22"
"Squid Game: Frontmann","18.04.22"
"Squid Game: Die VIPs","18.04.22"
"Squid Game: Gganbu","13.04.22"
"Squid Game: Eine gerechte Welt","12.04.22"
"Squid Game: Zum Team halten","10.04.22"
"Squid Game: Der Mann mit dem Schirm","10.04.22"
"Squid Game: Hölle","10.04.22"
"Squid Game: Rotes Licht, grünes Licht","10.04.22"
"Baki Hanma: Mehr als Muskelkraft","09.04.22"
"Baki Hanma: Der Gefängniswärter spricht darüber","09.04.22"
"Baki Hanma: Kannst du nicht lachen?","09.04.22"
